id,name,birthday,birthplace,thumb,summary
261,Lori Alan,7/18/1966,"Potomac, Maryland, USA",https://resizing.flixster.com/Nl4eHdrgxdrPNO0zWCliKRfLrFk=/218x280/v2/https://flxt.tmsimg.com/assets/228870_v9_ba.jpg,"After making her onscreen debut in a first-season episode of the TV institution ""Law & Order,"" actress Lori Alan began her career as a voice performer portraying the cartoon incarnation of the Invisible Woman on the superhero series ""Fantastic Four"" (1994-1996). While working on the coolly absurd animated series ""Johnny Bravo"" for the Cartoon Network (which would later become home to such other Alan-starring projects as ""The Grim Adventures of Billy & Mandy""), the actress met writer Seth MacFarlane. Their partnership landed Alan on McFarlane's smash animated sitcom ""Family Guy,"" wherein she is recurrently heard as the snippy and undercutting anchorwoman Diane Simmons. With a natural ability to appeal to both children and adults, Alan went on to provide vocal effects for such crowd-pleasing Pixar films as ""WALL-E"" and ""Toy Story 3."" She also voices the teenage sperm whale Pearl Krabs on Nickelodeon's winningly loony ""SpongeBob SquarePants."" In addition to her voice work, Alan has appeared in such live-action films as ""Father of the Bride Part II "" and on a slew of television series that includes ""Friends,"" ""Charmed,"" and ""Touched by an Angel."""
262,Joan Cusack,10/11/1962,"New York, New York, USA",https://resizing.flixster.com/FoLPL7rbX9rD0AzXX5qImluN4Ck=/218x280/v2/https://flxt.tmsimg.com/assets/31897_v9_bb.jpg,"Despite living in the shadow of her superstar brother, John Cusack, actress Joan Cusack carved out a substantial career with memorable supporting roles. But unlike her better known sibling, she earned an Academy Award nomination for her performance in ""Working Girl"" (1988), which came hot on the heels of her breakout role in ""Broadcast News"" (1987). From there, she accumulated a long list of credits where she played the best friend, sidekick or scourge, most notably in ""Say Anything"" (1989), ""My Blue Heaven"" (1990) and ""Addams Family Values"" (1993).  While she did land the occasional dramatic role, as happened with ""Arlington Road"" (1999) and ""The Cradle Will Rock"" (1999), Cusack seemed content with her position as a character actress. Though her career was not without its setbacks - a failed sitcom run in early 2001 paid testament to that - Cusack nonetheless remained secure in herself and career, becoming by the late 1990s and early 2000s, one of the most dependable supporting players working in Hollywood."
263,Bonnie Hunt,9/22/1961,"Chicago, Illinois, USA",https://resizing.flixster.com/BnKnnrnDygAj5CscP2d4CxxRI3I=/218x280/v2/https://flxt.tmsimg.com/assets/74316_v9_bb.jpg,"Described by Entertainment Weekly as ""the hands-down best (talk show) guest in America,"" Chicago comedy veteran Bonnie Hunt wore a number of creative hats in Hollywood before outdoing EW's compliment to become the creator and host of her own talk show, ""The Bonnie Hunt Show"" (Syndicated, 2008-10). The irreverent, chatty, daytime outlet proved a good fit for the comedienne whose accessible Midwestern persona and warmth had won over middle American audiences in sitcoms and supporting film roles in wholesome family comedies. Behind the scenes, however, she was a serious and accomplished Hollywood producer, screenwriter, director and the creator of several primetime comedies. With her relatable comic point of view and bubbly gift of gab, audiences came to think of Hunt like a sister or best friend."
264,Kristen Schaal,1/24/1978,"Longmont, Colorado, USA",https://resizing.flixster.com/78jwJg0UwBmZqy05CDkZLh4Aqkk=/218x280/v2/https://flxt.tmsimg.com/assets/421048_v9_bb.jpg,"She may have an oddly spelled last name (it's pronounced shall, as in ""call""), but Kristen Schaal's rapid rise to stardom is anything but strange. A mainstay of New York's comedy clubs throughout the early 2000s, Schaal made a name for herself as Mel on HBO's surrealist musical comedy, ""Flight of the Conchords"" (HBO, 2007-09), and soon followed that up with appearances on ""Modern Family"" (ABC, 2009- ), ""The Daily Show"" (Comedy Central, 1996- ), as well as a recurring role as Louise Belcher on the animated sitcom, ""Bob's Burgers"" (Fox, 2011- ). Already a rising comedic talent, her unmistakable high-pitched voice work, which has also included characters in ""Toy Story 3"" (2010), ""Despicable Me 2"" (2013) and ""Cloudy with a Chance of Meatballs 2"" (2013), has lent further credence to her status as a quirky multi-talented performer. Raised on a cattle farm near Longmont, Colorado, Schaal graduated from Northwestern University, before moving to New York City to pursue a career as a stand-up comic. She started working her way through the New York comedy circuit, and in 2005 made the list of the ""10 Funniest New Yorkers You Never Heard Of"" in New York Magazine. Another career highlight came in 2006 when Schaal was awarded the prestigious ""Best Alternative Comedian"" award at the Aspen Comedy Arts Festival, beating out several dozen of her comedic peers. In 2007 she was exposed to a mainstream audience for the first time after joining the cast of HBO's ""Flight of the Conchords,"" and the following year was hired on as a special correspondent for ""The Daily Show,"" thus becoming even more of a recognizable face on the national stage. When ""Conchords"" ended after two seasons in 2009, Schaal worked harder than ever, nabbing recurring parts on NBC's ""30 Rock"" (2006-2013), ""Gravity Falls"" (Disney Channel, 2012-16) and ""Wilfred"" (2011-14). She also played the awkward triceratops Trixie in ""Toy Story 3"" and lent her voice to the Fox animated series ""Bob's Burgers."" 2013 proved to be a banner year for Schaal-in addition to being featured in two episodes of ""Archer"" (FX, 2009- ), she voiced characters in the blockbuster animated films ""Despicable Me 2"" and ""Cloudy with a Chance of Meatballs 2."" In 2015, she began starring in a second Sunday night Fox sitcom alongside ""Bob's Burgers."" ""The Last Man on Earth"" (Fox 2015- ), created by and starring Will Forte, co-starred Schaal as quirky, highly-strung Carol Pilbasian, a survivor of a plague that has wiped out the rest of humanity. Between seasons of her two series Schaal co-starred in the Robert Redford film ""A Walk in the Woods"" (2015), Melissa McCarthy's ""The Boss"" (2016), indie comedy ""All Nighter"" (2017) and romantic comedy ""The Wedding Guest"" (2017)."
265,Emily Davis,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
266,Wallace Shawn,11/12/1943,"New York, New York, USA",https://resizing.flixster.com/qh5plkAo4AunqvVecg9BD-0yWIg=/218x280/v2/https://flxt.tmsimg.com/assets/65359_v9_bb.jpg,"Having proved himself as an endearing and often hilarious character player on both the big screen and on television, actor Wallace Shawn was also noted for his work as a serious and provocative playwright. Shawn announced his arrival with his OBIE-winning play ""Our Late Night"" (1975), which led to a small, but memorable film debut in Woody Allen's ""Manhattan"" (1979). But it was his writing and performance in the art-house hit ""My Dinner with Andre"" (1981) that captured the attention of Hollywood at large. From there he enlivened a number of movies in relatively minor parts before essaying his most remembered character, the maniacal Sicilian Vizzini, in ""The Princess Bride"" (1987).  Shawn segued over to television for recurring roles on ""The Cosby Show"" (NBC, 1984-1992) and ""Star Trek: Deep Space Nine"" (syndicated, 1993-99), while carving out yet another career path in animation with the voice role of the insecure Rex in ""Toy Story"" (1995), which he reprised in the 1999 and 2010 sequels. Always capable of elevating even the most mundane of material - as he did with ""My Favorite Martian"" (1999) and ""The Haunted Mansion"" (2003) - Shawn was a favorite among filmmakers and audiences, while continuing to earn considerable acclaim as an award-winning playwright."
267,John Ratzenberger,4/6/1947,"Bridgeport, Connecticut, USA",https://resizing.flixster.com/dLSOOnieidLYwUCAsTXrLZo_ZV0=/218x280/v2/https://flxt.tmsimg.com/assets/1426_v9_bb.jpg,"Though his place in pop culture history was cemented by his Emmy-nominated role as know-it-all postman Cliff Clavin on the hit television series ""Cheers"" (NBC, 1982-1993), actor John Ratzenberger enjoyed a long and diverse career in all aspects of the entertainment industry. A solid character actor in such fanboy classics as ""Superman: The Movie"" and ""The Empire Strikes Back,"" Ratzenberger would be one of the few ""Cheers"" castmembers to find consistent work, whether on behind the scenes as a TV series director, or on the big screen, voicing classic characters like Hamm the piggy bank so brilliantly in the ""Toy Story"" film franchise. Surprising fans of the awkward Cliffy Clavin, Ratzenberger proved there was still a spring in his step when, following a last minute cancellation by portly actor Vincent Pastore, the beloved actor filled the open dance card on the phenomenally successful series, ""Dancing with the Stars"" (ABC, 2005- ). Meanwhile, Ratzenberger enjoyed a successful voiceover career, plying his distinctive voice to a number of Pixar hits like the ""Toy Story"" series, ""Finding Nemo"" (2003), ""Ratatouille"" (2007), and ""Up"" (2009). Whether co-starring on a live action series or in hit animated movies, Ratzenberger maintained a steady presence on screens big and small."
268,Blake Clark,2/2/1946,"Macon, Georgia, USA",https://resizing.flixster.com/VJaBGtKe5xg40INOvnCRNK9SjzA=/218x280/v2/https://flxt.tmsimg.com/assets/156503_v9_bb.jpg,"Best known for his frequent collaborations with Adam Sandler--along with his raspy drawl--actor and comedian Blake Clark fought in the Vietnam War before beginning his acting career. Clark landed his first role on ""The Greatest American Hero,"" followed by appearances on the Korean War comedy ""M*A*S*H"" and the private-investigator lark ""Moonlighting."" He made his feature film debut on the Brat Pack centerpiece ""St. Elmo's Fire,"" after which he continued to act extensively on television. Clark appeared on countless sitcoms throughout the 1980s and '90s, most notably the Tim Allen sitcom ""Home Improvement,"" as a hardware store owner who supplies Allen's ""Tool Man"" with his needed fix. Clark appeared on the show over 20 times between 1994 and 1999. Clark also scored recurring parts on the sitcoms ""Boy Meets World,"" ""The Drew Carey Show,"" and ""Grace Under Fire."" In 1998, Clark began his collaboration with Adam Sandler on the football comedy ""The Waterboy."" It continued with ""Little Nicky,"" ""Mr. Deeds,"" ""I Now Pronounce You Chuck and Larry,"" and many others. Clark has also worked extensively as a voice actor, on ""Eight Crazy Nights"" (with Sandler again) and on ""Toy Story 3,"" replacing longtime friend Jim Varney, who died, as Slinky Dog."
269,June Squibb,11/6/1929,"Vandalia, Illinois, USA",https://resizing.flixster.com/x726522eaznXMP_j7RBiwM5c2zM=/218x280/v2/https://flxt.tmsimg.com/assets/269698_v9_bb.jpg,"June Squibb spent most of her six-decade acting career in small supporting roles until she finally gained recognition for her sterling performance in the comedy-drama ""Nebraska"" (2013). Squibb was born on November 6, 1929 in Vandalia, Illinois. In the first half of her acting career, Squibb focused entirely in theater. She trained at the Cleveland Play House, and later moved to New York City where she joined the Herbert Berghof Studio in Greenwich Village. Squibb landed her first big role as Dulcie in an off-Broadway production of ""The Boyfriend"" in 1958. For most actresses, thirty years spent in Broadway, regional theater, musicals, and cabaret would have been a lifetime's worth of acting. However, June's acting career had more to offer when she made her first feature film debut in 1990 alongside Al Pacino in ""Scent of a Woman."" Except for a recurring role as Pearl in ""The Young and the Restless"" (CBS 1973-), most of her ensuing roles were bit parts in big movies and popular television shows such as ""About Schmidt"" (2002) and ""Two and a Half Men"" (CBS 2003-). However, she surprised everyone in the role of Kate Grant in the 2013 film ""Nebraska."" Director Alexander Payne, whom Squibb worked with previously in ""About Schmidt,"" did not initially think to cast her for the role until she sent her audition tape with her two interpretations of Kate's character, one combative and the other restrained. The former won out as Squibb's Kate became the crass and potty-mouthed wife of the movie's central character, Woody Grant (Bruce Dern). Her performance was critically acclaimed, nominated for numerous film critics awards and a Golden Globe nomination for Best Performance by an Actress in a Supporting Role in a Motion Picture. In January 2014, the Academy of Motion Picture Arts and Sciences announced that Squibb was one of the year's Best Supporting Actress nominees."
270,Josh Cooley,,Not Available,https://resizing.flixster.com/CQNIule81M-hasZsIpNjv8Tjg2c=/218x280/v2/https://flxt.tmsimg.com/assets/740705_v9_ba.jpg,
271,Andrew Stanton,12/3/1965,"Boston, Massachusetts, USA",https://resizing.flixster.com/BXkPlNMv23F9bOqsrKugyr4v7ZA=/218x280/v2/https://flxt.tmsimg.com/assets/199181_v9_bb.jpg,"A key figure in the development of Pixar Studios, Andrew Stanton was the writer-director of some of the computer animation company's biggest hits, including ""Toy Story"" (1995), ""A Bug's Life"" (1998), ""Finding Nemo"" (2003) and ""WALL-E."" In the grand tradition of Disney's animation team from the 1930s and such legendary figures as Ray Harryhausen and Don Bluth, Stanton's best films were a near-perfect balance of breathtaking visuals and heart-tugging emotion; the lifelike quality of cowboy toy Woody or the silent, industrious robot WALL-E never overwhelmed their fully rendered hopes and dreams and ambitions. The combination of these elements brought Stanton significant acclaim and considerable awards, but more importantly, it established him as one of the most creative figures in motion pictures - live action and animated - working in 21st century Hollywood."
272,Stephany Folsom,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
273,Mark Nielsen,,Not Available,https://resizing.flixster.com/EeYb-FWyrykjBfELD6sVbiLn4v0=/218x280/v2/https://flxt.tmsimg.com/assets/1204216_v9_aa.jpg,
274,Jonas Rivera,,Not Available,https://resizing.flixster.com/Kt40nPKtsEc0org37YjkFnle81w=/218x280/v2/https://flxt.tmsimg.com/assets/535084_v9_bb.jpg,
275,Galyn Susman,9/21/1964,"Park Forest, Illinois, USA",https://resizing.flixster.com/H3JDaJmlnAUWYuBO5DAS78KE3S4=/218x280/v2/https://flxt.tmsimg.com/assets/740706_v9_ba.jpg,
276,Lee Unkrich,8/8/1967,"Cleveland, Ohio, USA",https://resizing.flixster.com/scGbeFvY6wG4SFRWTA8WUJuxtI4=/218x280/v2/https://flxt.tmsimg.com/assets/252175_v9_bb.jpg,
277,Pete Docter,10/9/1968,"Bloomington, Minnesota, USA",https://resizing.flixster.com/OJzEyFGtDmZrALFXQsCIrcsQNAM=/218x280/v2/https://flxt.tmsimg.com/assets/252174_v9_bb.jpg,"Pete Docter came in on the ground level of arguably the most creative, technologically cutting-edge studio in filmdom, essaying a fantasy-filled childhood into some of the most spectacular and whimsical feature films of the late 1990s and 2000s. At just 21 years of age, Docter became one of the first employees of Apple Computer honcho Steve Jobs' boutique computer-animation shop, Pixar, going on to work as a writer and animator on the company's groundbreaking animated comedies ""Toy Story"" (1995) and ""Toy Story 2"" (1999). He conceived and directed ""Monsters, Inc."" (2001) and went on to originate three features that would earn the studio some its most glowing praise and most substantial profit - ""WALL E"" (2008), the adventure-comedy spectacle ""Up"" (2009), and the sweet-natured, emotional ""Inside Out"" (2015), all three of which won the Best Animated Feature Academy Award. A self-admitted archetypal nerd growing up in the Midwest, Docter achieved every film geek's dream by boasting multiple award nominations and wins for his timeless tales enjoyed by both children and adults, as well as commanding the respect of the industry as one of the most admired creators of high-tech animated fantasy at the most celebrated movie shop in show business."
278,Patrick Lin,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
279,Jean-Claude Kalache,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
280,Axel Geddes,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
281,Randy Newman,11/28/1943,"New Orleans, Louisiana, USA",https://resizing.flixster.com/hR1EXOcqHjXPra9Yvy6NXesMbSc=/218x280/v2/https://flxt.tmsimg.com/assets/1249_v9_bc.jpg,"Singer-songwriter-film composer Randy Newman had been one of the most oft-nominated individuals at the Academy Awards without ever having won - that is, until he finally took home the award for his original song, ""If I Didn't Have You"" from ""Monsters, Inc."" (2001). Prior to courting the Oscars, Newman had been a popular writer of novelty songs that were both sardonic and catchy throughout the 1960s and 1970s. One of his most famous was ""Short People,"" which became his biggest hit. Though he had his start writing songs and themes for television and film, Newman would not be officially associated with scoring movies until he wrote the music for ""Ragtime"" (1981), which deviated wildly from his sarcastic ditties from a decade prior. Newman would go on to score the music and write songs for some of the biggest movies of the next two decades, including ""The Natural"" (1984), ""Parenthood"" (1989), ""Toy Story"" (1995), ""A Bug's Life"" (1998) and ""Babe: Pig in the City"" (1998). While all earned him Academy Award nominations, he became almost as famous for not winning as he did for the compositions themselves. But after 16 tries and finally winning the coveted statue, there had never been any doubt within the industry or with movie fans that Newman was one of the most revered and prolific film songwriters of all time."
282,Bob Pauley,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
283,Kevin Reher,,"Bellevue, Washington, USA",https://resizing.flixster.com/-eHEoQOv2vzmPWmGsaV2uzLMCA0=/218x280/v2/https://flxt.tmsimg.com/assets/415188_v9_ba.jpg,
284,Natalie Lyon,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
285,Saoirse Ronan,4/12/1994,"New York, New York, USA",https://resizing.flixster.com/0EWq210Muc_wWZxwJ5S4wNo94QM=/218x280/v2/https://flxt.tmsimg.com/assets/491010_v9_bc.jpg,"Considered one of Hollywood's most promising young talents by the age of 13, actress Saoirse Ronan demonstrated a range and depth far beyond her years in several highly-regarded films. After early work on Irish television and a supporting role opposite Michelle Pfeiffer in the romantic-comedy ""I Could Never Be Your Woman"" (2007), Ronan became one of the most talked about actresses of any age when she appeared in ""Atonement"" (2007). Nominated for dozens of awards for her work alongside Keira Knightley and James McAvoy, she was soon racking up more accolades in such eagerly-awaited projects as ""City of Ember"" (2008), ""The Lovely Bones"" (2009) and ""The Way Back"" (2010). With her astonishing turn as a 16-year-old killing machine in the action-thriller ""Hanna"" (2011), Ronan proved she had both the talent and physical presence to tackle roles beyond the abilities of almost any other actress her age. Competing for parts with the likes of Dakota Fanning and compared to such acting luminaries as Meryl Streep, Ronan looked forward to a career as diverse and rewarding as she chose to make it. She adjusted smoothly to more mature roles with films ranging from Wes Anderson's ""The Grand Budapest Hotel"" (2014) to YA dystopia ""The Host"" (2012) before winning two more Oscar nominations with period drama ""Brooklyn"" (2015) and Greta Gerwig's coming of age comedy-drama ""Lady Bird"" (2017) and starring in prestige films such as ""On Chesil Beach"" (2017) and ""Mary Queen of Scots"" (2018)."
286,Laurie Metcalf,6/16/1955,"Carbondale, Illinois, USA",https://resizing.flixster.com/GCfCJAPOV_UYaKwhqwRRzk3h35k=/218x280/v2/https://flxt.tmsimg.com/assets/38285_v9_bc.jpg,"Incredibly versatile and capable of plumbing the depths of even the most complex roles, actress Laurie Metcalf was a critical darling on the stages of Chicago and New York prior to being cast on one of television's most beloved sitcoms of all time. An early member of Chicago's revered Steppenwolf Theater Company, Metcalf garnered widespread critical acclaim for her performance in the troupe's off-Broadway mounting of ""Balm of Gilead"" in 1984. Four years later, the actress became known to mainstream American audiences as Jackie Harris, the melancholy but well-meaning sister of Roseanne Barr's titular matriarch on the hit sitcom ""Roseanne"" (ABC, 1988-1997; 2018- ). The increased visibility led the accomplished actress to appear in several high-profile feature films of the time, including the crime-thriller ""Internal Affairs"" (1990) and director Oliver Stone's explosive docudrama ""JFK"" (1991). Another memorable role for Metcalf came with the voice of Andy's Mom in the Disney/Pixar animated hit film ""Toy Story"" (1995) and its equally popular sequels. Post-""Roseanne,"" she remained a frequent presence on television with memorable recurring roles on popular series like ""3rd Rock from the Sun"" (NBC, 1996-2001), ""Desperate Housewives"" (ABC, 2004-2012) and ""The Big Bang Theory"" (CBS, 2007- ), as well as smaller projects like Louis CK's quirky ""Horace and Pete"" (2016). She also co-starred in the dark sitcom ""Getting On"" (HBO 2013-15) and the family sitcom ""The McCarthys"" (CBS 2014-15), burnishing her leading-lady qualities even though neither series lasted very long. Metcalf capped her late-career renaissance with an Oscar-nominated role as the title character's mother in Greta Gerwig's ""Lady Bird"" (2017) and a return to the role that made her famous in a reboot of ""Roseanne"" that was retooled as ""The Conners"" (ABC 2018- ) following Roseanne Barr's firing from the series. An actress committed to illuminating the inner-life of her multilayered characters, Metcalf was one of the more esteemed supporting actresses in all mediums."
287,Timoth̩e Chalamet,12/27/1995,"Manhattan, New York, USA",https://resizing.flixster.com/T4i8ENs82EOllAIYEZkkKGzUlHc=/218x280/v2/https://flxt.tmsimg.com/assets/535891_v9_bc.jpg,"Timothee Chalamet was an American actor who broke out in 2017 with appearances in two widely-acclaimed films, ""Lady Bird"" and ""Call Me By Your Name,"" the latter of which earned Chalamet his first Oscar nomination for Best Actor. Born and raised in the Hell's Kitchen neighborhood of Manhattan, Chalamet began appearing in plays and commercials in New York when he was a young boy. By the time he entered the LaGuardia High School of Music & Art and Performing Arts as a teenager, he began taking acting a lot more seriously, and really began to hone in on perfecting his craft. After graduating from LaGuardia High School, Chalamet briefly attended Columbia University in New York, before leaving school to dive head first into a professional film and television acting career in 2008. He initially began appearing in short films like ""Sweet Tooth"" (2008) and ""Clown"" (2008), all while continuing to audition for more meatier film and TV roles. Then in 2012 Chalamet nabbed recurring roles on two major television shows, ""Royal Pains"" (USA Network, 2009-2016) and ""Homeland"" (Showtime, 2011- ), both of which established the still teenage Chalamet as a talented young actor to watch. In 2014 Chalamet nabbed his very first film role in Jason Reitman's comedy-drama ""Men, Women & Children"" (2014). 2014 was also the year he appeared in Christopher Nolan's futuristic space epic ""Interstellar"" (2014). From 2014 onward Chalamet appeared in films only, and through it all established himself as one of the most promising young actors of his generation. His breakout year proved to be 2017 when he appeared in three of the most talked about films of the year: ""Hostiles"" (2017), ""Lady Bird"" and ""Call Me By Your Name."" He earned a Best Actor Oscar nomination for his role in ""Call Me By Your Name,"" becoming the third youngest actor in history to be nominated for the prestigious award. In 2018 Chalamet appeared in Woody Allen's ""A Rainy Day In New York"" (2018), alongside Elle Fanning. Before the film was released however, Chalamet made headlines for declaring he would donate his entire ""A Rainy Day In New York"" salary to Time's Up, a movement against sexual harassment that was founded in early 2018 by various high-profile Hollywood celebrities in the wake of the Harvey Weinstein sexual abuse scandal of late 2017. In late 2017 Chalamet expressed serious remorse for working with Allen, who for decades had been accused of sexual abuse by his adopted daughter Dylan Farrow."
288,Lucas Hedges,12/12/1996,"Brooklyn Heights, New York, United States",https://resizing.flixster.com/RLufe5bEvrJKcrZ6d-WYownC7gU=/218x280/v2/https://flxt.tmsimg.com/assets/659374_v9_bc.jpg,"Born in Brooklyn Heights, actor Lucas Hedges was the son of Oscar-nominated screenwriter and director Peter Hedges and his wife, Susan Bruce, a poet. Hedges graduated from St. Ann's School in Brooklyn, and later enrolled at University of North Carolina School of the Arts. Hedges' film debut came in 2007 when he appeared in his father's movie, the Steve Carell vehicle ""Dan in Real Life."" Hedges also appeared in Wes Anderson's ""Moonrise Kingdom"" (2012), Dante Ariola's ""Arthur Newman"" (2012), Jason Reitman's ""Labor Day"" (2013), and ""The Zero Theorem"" directed by Terry Gilliam. Hedges next appeared in another one of Wes Anderson's films, ""The Grand Budapest Hotel"" (2014). His breakthrough role came when Hedges appeared in Kenneth Lonergan's ""Manchester-by-the-Sea"" (2016). Playing the nephew of a broken, emotionally crippled man, Hedges was nominated for an Independent Spirit Award, a Screen Actors Guild Award, and an Academy Award for Best Supporting Actor. In 2017 it was announced that Hedges would appear in ""Lady Bird,"" directed by Greta Gerwig. The same year Hedges made his debut on the stage, in an off-Broadway production of ""Yen,"" written by Anna Jordan and directed by Trip Cullman."
289,Tracy Letts,7/4/1965,"Tulsa, Oklahoma, USA",https://resizing.flixster.com/1HwU6Zb6LXPPUX8nrCWzPjuvEPw=/218x280/v2/https://flxt.tmsimg.com/assets/170941_v9_bb.jpg,"From pulp-inspired crime, to horror, to his own family tragedies, the subject matter of Tracy Letts' plays has been as diverse as the talents of Letts himself. Whether he's penning scripts for the stage and screen or acting, Letts has garnered critical kudos and major awards, as well as mainstream success, beginning with his 1993 play ""Killer Joe,"" and continuing through his work with Chicago's Steppenwolf Theater Company, film adaptations of his own plays, including ""Bug"" (2006) and ""August: Osage County"" (2013), as well as a Tony Award-winning performance in ""Who's Afraid of Virginia Woolf?"""
290,Odeya Rush,5/12/1997,"Haifa, Israel",https://resizing.flixster.com/AlxLWbLAGER3KgoJHlAHnbrqMkg=/218x280/v2/https://flxt.tmsimg.com/assets/635167_v9_bb.jpg,"Odeya Rush started acting at a young age, but there was a natural progression to her screen career, moving from advertisements to television to movies. At the age of nine Rush relocated from Israel to Alabama with her family (including six brothers). As soon as they arrived in the States, Rush was already telling her family she wanted to be an actress. They moved to New Jersey two years later and Rush was cast in her first print and TV commercials. After they moved to Los Angeles, Rush advanced into TV with guest spots on ""Law & Order: Special Victim Unit"" (NBC, 1999-) and the cult Larry David comedy ""Curb Your Enthusiasm"" (HBO, 2000-2011). This was followed by her film debut with a 'best friend' role in Disney's ""The Odd Life of Timothy Green"" (2012), opposite CJ Adams, before featuring in horror remake ""We Are What We Are"" (2013). Rush had to audition six times for her first lead in teen sci-fi adventure ""The Giver"" (2014) -- alongside Meryl Streep, Jeff Bridges and Taylor Swift. The role earned her a Teen Choice Breakout Star Award. In 2015, she landed another lead in the big screen relaunch of R.L. Stine's massively popular family friendly horror series ""Goosebumps,"" playing the daughter of a fantasy version of the popular children's author, portrayed by Jack Black."
291,Jake McDorman,7/8/1986,"Dallas, Texas, USA",https://resizing.flixster.com/ClYyo2g_xyHf8wR162vw_aA-_x8=/218x280/v2/https://flxt.tmsimg.com/assets/295926_v9_bc.jpg,"Actor Jake McDorman successfully transitioned from leads in youth-oriented films and television projects like ""Aquamarine"" (2006) and ""Greek"" (ABC Family, 2007-2011) to adult roles on ""Shameless"" (Showtime, 2011- ) and ""Manhattan Love Story"" (ABC 2014). Born John Allen McDorman IV in Dallas, Texas on July 8, 1986, he developed an interest in acting in his early teens, and trained at the Dallas Young Actors Studio while completing high school. After making his screen debut in an industrial film about the Boy Scouts, McDorman worked steadily as a juvenile player on episodic television with guest turns on ""Run of the House"" (The WB, 2003-2004) and as a series regular on ""Quintuplets"" (Fox, 2004-2005). Within a few years, he had graduated to romantic leads in teen-oriented features like ""Aquamarine"" and ""Bring It On: All or Nothing"" (2006), as well as smaller roles in mainstream films like ""Live Free or Die Hard"" (2007). That same year, he returned to series regular work on ""Greek"" as the popular president of a fraternity. When the program concluded its network run, McDorman pursued more mature and dramatic projects, and landed the title role in ""The Craigslist Killer"" (Lifetime, 2011), a TV-movie based on the real-life crimes of Philip Markoff. The following year, he was initially cast as a recurring love interest for Laura Prepon's lead in the pilot for ""Are You There, Chelsea?"" (NBC, 2012), but then replaced comic Jo Koy as a series regular, playing the bartender at the sports bar where the main characters worked. When the show ran its course after a single season, McDorman moved to Showtime's ""Shameless"" to play Emmy Rossum's love interest for two seasons. In 2014, he was cast as the male lead in the romantic comedy series ""Manhattan Love Story,"" about two young New Yorkers navigating the ups and downs of a relationship. Unfortunately, his first leading role was a short-lived one; the series was the first cancellation victim of the 2014 season."
292,Beanie Feldstein,6/24/1993,"Los Angeles, California, USA",https://resizing.flixster.com/wxgtgs_Xce_BdSAWFB6LFtsTfKM=/218x280/v2/https://flxt.tmsimg.com/assets/922821_v9_bb.jpg,"Famous not just for her acting and singing chops but also for her famous brother, actor Jonah Hill, Beanie Feldstein was born in Los Angeles, California in 1993. Though she dealt with and eventually recovered from a childhood case of vocal nodules, Feldstein began acting in children's theatre productions at age five, and developed a tremendous love of musicals, even going so far as to have a ""Funny Girl"" (1968)-themed birthday party. She booked her first major acting role at age nine, appearing on an episode of the Damon Wayans sitcom ""My Wife and Kids"" (ABC, 2001-05) in 2002. Feldstein subsequently attended Wesleyan College, where she appeared in numerous student productions while earning her degree in sociology. While attending school, Feldstein continued to make television appearances, acting in the first episode of the HBO mini-series ""The Devil You Know"" (HBO, 2015) and on an episode of the acclaimed series ""Orange is the New Black"" (Netflix, 2013-). In 2016, just six weeks after graduating from college, Feldstein booked her first feature film, playing a boisterous sorority girl in the comedy ""Neighbors 2: Sorority Rising"" (2016). After filming Whitney Cummings' ensemble comedy ""The Female Brain"" (2017), Feldbrain scored critical acclaim as Julie, the best friend of Saoirse Ronan's title character in Greta Gerwig's comedy-drama ""Lady Bird"" (2017). While that film was in theaters, Feldstein was making her Broadway debut, playing Minnie Fay opposite Bette Midler in a revival of ""Hello, Dolly!"" Her next film, the teen comedy ""Booksmart"" (2019), provided Feldstein with her first starring role opposite Caitlyn Dever as a pair of bookish high school students wanting to experience the fun si e of school before graduation. The film, directed by actress Olivia Wilde  was a critical and commercial success."
